uidA,uidB,aliasA,aliasB,interactionType
P46782,O15372,RPS5,EIF3H,psi-mi:MI:0915(physical association)
Q9UBP5,Q9UBP5,HEY2,HEY2,-
Q9NRY4,O14827,ARHGAP35,RASGRF2,psi-mi:MI:0914(association)
O00267,Q9Y2M0,SUPT5H,FAN1,MI:0915(physical association)
P50851,P50851,LRBA,LRBA,-
Q92752,Q92752,TNR,TNR,-
Q13620,Q9NZR2,CUL4B,LRP1B,MI:0915(physical association)
Q7Z3K3,Q86WV8,POGZ,TSC1,MI:0915(physical association)
O00267,O00267,SUPT5H,SUPT5H,-
P49792,P49792,RANBP2,RANBP2,MI:0407(direct interaction)
P49792,A0A024RAJ5,RANBP2,COL4A3BP,MI:0403(colocalization)
P48544,O00555,KCNJ5,CACNA1A,psi-mi:MI:0914(association)
Q8TD30,Q8TD30,GPT2,GPT2,psi-mi:MI:0915(physical association)
P49792,P35222,RANBP2,CTNNB1,MI:0915(physical association)
P49792,A0A140VJQ0,RANBP2,MYBPC2,MI:0915(physical association)
P49792,O43264,RANBP2,ZW10,psi-mi:MI:0915(physical association)
Q9UQ35,Q15393,SRRM2,SF3B3,MI:0403(colocalization)
Q9UQ35,P61978,SRRM2,HNRNPK,MI:0403(colocalization)
Q9UQ35,P49759,SRRM2,CLK1,MI:0407(direct interaction)
Q9Y2L9,P46531,LRCH1,NOTCH1,MI:0915(physical association)
Q9UQ35,O00541,SRRM2,PES1,MI:0915(physical association)
P14780,P35442,MMP9,THBS2,MI:0915(physical association)
Q9UQ35,Q92922,SRRM2,SMARCC1,MI:0915(physical association)
Q9UQ35,A0A087X1U6,SRRM2,EPPK1,MI:0915(physical association)
P30260,Q15796,CDC27,SMAD2,-
P14780,P15502,MMP9,ELN,MI:0194(cleavage reaction)
Q86VP6,Q16531,CAND1,DDB1,MI:0915(physical association)
Q8IV36,Q5SZQ8,HID1,CELF3,MI:0915(physical association)
P14780,P25940,MMP9,COL5A3,psi-mi:MI:0915(physical association)
P14780,A6NMZ7,MMP9,COL6A6,psi-mi:MI:0915(physical association)
Q9BUF5,Q9BQE3,TUBB6,TUBA1C,psi-mi:MI:0915(physical association)
F1D8Q5,F1D8Q5,RXRA,RXRA,MI:0407(direct interaction)
F1D8Q5,Q15653,RXRA,NFKBIB,-
Q86VP6,P35613,CAND1,BSG,MI:0915(physical association)
Q86VP6,P61978,CAND1,HNRNPK,MI:0915(physical association)
O95429,Q86V15,BAG4,CASZ1,MI:0407(direct interaction)
Q9NRM2,Q5XPI4,ZNF277,RNF123,MI:0915(physical association)
O60282,P18146,KIF5C,EGR1,psi-mi:MI:0915(physical association)
P25067,P25067,COL8A2,COL8A2,MI:0407(direct interaction)
P27635,P35249,RPL10,RFC4,MI:0915(physical association)
A0A024R0F8,A0A024R0F8,GPSM2,GPSM2,MI:0407(direct interaction)
Q8N653,A0A024QZ86,LZTR1,TBX2,MI:0407(direct interaction)
Q15788,A0A024R5F4,NCOA1,CPT1A,psi-mi:MI:0914(association)
A0A024R5X1,O14802,SNAPC5,POLR3A,psi-mi:MI:0915(physical association)
Q15788,A0A024RD71,NCOA1,TNFRSF21,psi-mi:MI:0914(association)
Q15700,Q15700,DLG2,DLG2,-
Q9UHF7,Q14566,TRPS1,MCM6,MI:0915(physical association)
Q15788,Q09472,NCOA1,EP300,MI:0407(direct interaction)
Q15788,O14497,NCOA1,ARID1A,MI:0407(direct interaction)
Q53HF2,P04626,HSPA8,ERBB2,-
P11142,P15056,HSPA8,BRAF,MI:0915(physical association)
P11142,P21980,HSPA8,TGM2,MI:0407(direct interaction)
P11142,Q9Y6Y0,HSPA8,IVNS1ABP,MI:0915(physical association)
P11142,Q6P1W5,HSPA8,C1orf94,MI:0915(physical association)
P11142,Q99759,HSPA8,MAP3K3,MI:0915(physical association)
P48553,P46531,TRAPPC10,NOTCH1,MI:0915(physical association)
Q8IZU8,A0A024RAQ9,DSEL,VCAN,psi-mi:MI:0915(physical association)
P48553,P48553,TRAPPC10,TRAPPC10,MI:0915(physical association)
Q66K89,A0A024R3C7,E4F1,ATM,psi-mi:MI:0217(phosphorylation reaction)
Q15154,Q9NYB9,PCM1,ABI2,MI:0915(physical association)
Q15154,P19012,PCM1,KRT15,MI:0915(physical association)
Q15154,Q8IYE1,PCM1,CCDC13,MI:0403(colocalization)
Q8NHX9,P42345,TPCN2,MTOR,MI:0915(physical association)
Q15154,Q9BSJ2,PCM1,TUBGCP2,psi-mi:MI:0915(physical association)
P20591,P20591,MX1,MX1,MI:0407(direct interaction)
P08684,P11712,CYP3A4,CYP2C9,MI:0407(direct interaction)
P11142,A0A1U9X7A6,HSPA8,BAG6,-
Q15154,Q8IZP0,PCM1,ABI1,MI:0915(physical association)
A0A024QZB2,Q9H9D4,ZNF764,ZNF408,MI:0915(physical association)
Q75N90,O43809,FBN3,NUDT21,MI:0407(direct interaction)
P35556,Q15796,FBN2,SMAD2,-
Q12802,P31946,AKAP13,YWHAB,MI:0915(physical association)
Q9UKV8,A0A024R1Y5,AGO2,DHX58,MI:0915(physical association)
Q0GE19,J3KN16,SLC10A7,KIAA0368,MI:0915(physical association)
P56180,P56180,TPTE,TPTE,MI:0915(physical association)
Q5BKZ1,P02549,ZNF326,SPTA1,MI:0915(physical association)
Q9Y6K1,Q96PU4,DNMT3A,UHRF2,MI:0915(physical association)
Q9UKV8,Q04721,AGO2,NOTCH2,psi-mi:MI:0914(association)
Q9UKV8,K7PPA8,AGO2,TP53,psi-mi:MI:0914(association)
P31946,Q99759,YWHAB,MAP3K3,MI:0915(physical association)
Q8N5D0,Q16531,WDTC1,DDB1,MI:0407(direct interaction)
O95714,K7PPA8,HERC2,TP53,MI:0407(direct interaction)
O15371,P46777,EIF3D,RPL5,psi-mi:MI:0914(association)
P52294,Q9NRG9,KPNA1,AAAS,psi-mi:MI:0914(association)
Q01813,Q9H4A3,PFKP,WNK1,MI:0915(physical association)
Q9BXS9,Q9BXS9,SLC26A6,SLC26A6,MI:0915(physical association)
P04626,Q68CZ2,ERBB2,TNS3,MI:0407(direct interaction)
A0A024R3C7,P46531,ATM,NOTCH1,MI:0915(physical association)
Q9H5V7,Q9H2S9,IKZF5,IKZF4,MI:0915(physical association)
F6KD01,P35222,PTEN,CTNNB1,psi-mi:MI:0915(physical association)
F6KD01,P40818,PTEN,USP8,MI:0915(physical association)
F6KD01,P11142,PTEN,HSPA8,MI:0915(physical association)
F6KD01,P68400,PTEN,CSNK2A1,MI:0407(direct interaction)
F6KD01,Q96QB1,PTEN,DLC1,MI:0915(physical association)
F6KD01,Q92831,PTEN,KAT2B,MI:0915(physical association)
F6KD01,Q9UJX0,PTEN,OSGIN1,MI:0915(physical association)
F6KD01,L7RT34,PTEN,PIK3R5,psi-mi:MI:0914(association)
P42684,Q16890,ABL2,TPD52L1,MI:0915(physical association)
P31939,A0A0S2Z5M8,ATIC,ELAC2,MI:0403(colocalization)
Q96KQ4,Q8TBB1,PPP1R13B,LNX1,MI:0915(physical association)
Q96F07,Q7L576,CYFIP2,CYFIP1,MI:0403(colocalization)
Q9Y618,Q15637,NCOR2,SF1,MI:0915(physical association)
P63000,P60709,RAC1,ACTB,MI:0407(direct interaction)
Q01484,Q01082,ANK2,SPTBN1,-
Q9NR80,Q9BRR9,ARHGEF4,ARHGAP9,psi-mi:MI:0914(association)
P25940,P50454,COL5A3,SERPINH1,psi-mi:MI:0915(physical association)
P63000,P60953,RAC1,CDC42,psi-mi:MI:0914(association)
P63000,Q9UIW2,RAC1,PLXNA1,psi-mi:MI:0915(physical association)
P04629,P28370,NTRK1,SMARCA1,MI:0915(physical association)
P04629,Q8WWN8,NTRK1,ARAP3,MI:0915(physical association)
P04629,Q8IY81,NTRK1,FTSJ3,MI:0915(physical association)
P04629,Q9H0A0,NTRK1,NAT10,MI:0915(physical association)
P04629,Q8IWR0,NTRK1,ZC3H7A,MI:0915(physical association)
P04629,O43290,NTRK1,SART1,MI:0915(physical association)
P04629,P47914,NTRK1,RPL29,MI:0915(physical association)
P04629,Q6NZY4,NTRK1,ZCCHC8,MI:0915(physical association)
P04629,B1ALW7,NTRK1,COG2,MI:0915(physical association)
P04629,P33981,NTRK1,TTK,MI:0915(physical association)
P04629,P85037,NTRK1,FOXK1,MI:0915(physical association)
P04629,Q8NBJ5,NTRK1,COLGALT1,MI:0915(physical association)
P04629,Q5T5Y3,NTRK1,CAMSAP1,MI:0915(physical association)
P04629,Q9BXJ9,NTRK1,NAA15,MI:0915(physical association)
P04629,P42704,NTRK1,LRPPRC,MI:0915(physical association)
Q9Y618,A0A024R274,NCOR2,SMAD4,psi-mi:MI:0915(physical association)
P04629,A0A0S2Z5M8,NTRK1,ELAC2,MI:0915(physical association)
P04629,P13639,NTRK1,EEF2,MI:0915(physical association)
P04629,O43719,NTRK1,HTATSF1,MI:0915(physical association)
P04629,O00459,NTRK1,PIK3R2,psi-mi:MI:0915(physical association)
Q9BPU6,Q9UIW2,DPYSL5,PLXNA1,psi-mi:MI:0915(physical association)
Q2KHM9,Q9H5V7,KIAA0753,IKZF5,MI:0915(physical association)
P22607,Q06124,FGFR3,PTPN11,psi-mi:MI:0915(physical association)
Q9HAU4,Q9HAU4,SMURF2,SMURF2,-
A0A024QYX8,A0A024QYX8,WAS,WAS,MI:0407(direct interaction)
Q9HAU4,O15254,SMURF2,ACOX3,-
P26010,P26010,ITGB7,ITGB7,-
P68400,Q14692,CSNK2A1,BMS1,MI:0407(direct interaction)
O15372,P46777,EIF3H,RPL5,psi-mi:MI:0914(association)
O15372,P61313,EIF3H,RPL15,psi-mi:MI:0914(association)
P68400,Q6PKG0,CSNK2A1,LARP1,MI:0407(direct interaction)
Q8TEU7,O14807,RAPGEF6,MRAS,-
P68400,O60293,CSNK2A1,ZFC3H1,MI:0407(direct interaction)
P68400,A0A024R6X0,CSNK2A1,RRAD,MI:0407(direct interaction)
A0A024R4C1,Q92752,POLR3C,TNR,psi-mi:MI:0915(physical association)
Q9HAU4,P51531,SMURF2,SMARCA2,MI:0915(physical association)
P68400,Q02108,CSNK2A1,GUCY1A3,MI:0915(physical association)
Q1XBU8,Q9Y6Q9,PIAS1,NCOA3,MI:0915(physical association)
A0A024QYX8,P23467,WAS,PTPRB,MI:0203(dephosphorylation reaction)
P68400,Q92997,CSNK2A1,DVL3,MI:0915(physical association)
Q9Y244,Q8WZ42,POMP,TTN,MI:0915(physical association)
Q96CV9,Q658J6,OPTN,MAP1LC3B,MI:0915(physical association)
A0A024R4C3,K7PPA8,TP73,TP53,MI:0915(physical association)
A0A024R4C3,Q92993,TP73,KAT5,MI:0915(physical association)
Q8TC76,O75420,FAM110B,GIGYF1,MI:0915(physical association)
Q8TC76,O15075,FAM110B,DCLK1,MI:0915(physical association)
P68400,P17480,CSNK2A1,UBTF,-
P68400,P46777,CSNK2A1,RPL5,-
P68400,P31946,CSNK2A1,YWHAB,-
Q9HAU4,A0A0K0K1L8,SMURF2,PSME1,psi-mi:MI:0914(association)
Q9HAU4,Q14315,SMURF2,FLNC,MI:0915(physical association)
Q12955,Q15796,ANK3,SMAD2,-
P35613,A0A024RAD7,BSG,STEAP3,MI:0915(physical association)
Q8IX12,Q15393,CCAR1,SF3B3,MI:0403(colocalization)
A3QNQ0,A0A024R274,TGFBR2,SMAD4,-
A3QNQ0,A3QNQ0,TGFBR2,TGFBR2,-
Q8IX12,Q969Q1,CCAR1,TRIM63,MI:0915(physical association)
A0A024QYY4,P35222,BCL9,CTNNB1,-
Q9H9P5,Q15796,UNKL,SMAD2,-
P63146,P50454,UBE2B,SERPINH1,MI:0403(colocalization)
Q9BRS2,P31946,RIOK1,YWHAB,MI:0915(physical association)
A3QNQ0,P17813,TGFBR2,ENG,-
Q9BQE3,P16615,TUBA1C,ATP2A2,MI:0915(physical association)
Q9BQE3,P35613,TUBA1C,BSG,MI:0915(physical association)
O00267,Q15637,SUPT5H,SF1,MI:0403(colocalization)
Q9BQE3,B1AQP2,TUBA1C,PFDN2,psi-mi:MI:0915(physical association)
O00267,A0A024R6S2,SUPT5H,DOK4,MI:0915(physical association)
Q8N2W9,O60841,PIAS4,EIF5B,MI:0403(colocalization)
Q8N2W9,Q15796,PIAS4,SMAD2,MI:0915(physical association)
Q969Q1,Q969Q1,TRIM63,TRIM63,-
Q92835,Q38SD2,INPP5D,LRRK1,MI:0915(physical association)
Q96KQ4,P04626,PPP1R13B,ERBB2,MI:0915(physical association)
P25101,P50052,EDNRA,AGTR2,psi-mi:MI:0914(association)
P25101,P30679,EDNRA,GNA15,psi-mi:MI:0915(physical association)
A1L4H1,P37198,SSC5D,NUP62,MI:0407(direct interaction)
P54198,Q01167,HIRA,FOXK2,MI:0915(physical association)
Q5VV41,O00212,ARHGEF16,RHOD,psi-mi:MI:0915(physical association)
L7RRS6,P49368,RAF1,CCT3,-
P98160,P25391,HSPG2,LAMA1,-
P98160,O94985,HSPG2,CLSTN1,psi-mi:MI:0915(physical association)
P98160,O15230,HSPG2,LAMA5,psi-mi:MI:0915(physical association)
L7RRS6,O15371,RAF1,EIF3D,MI:0915(physical association)
O95613,Q9BSJ2,PCNT,TUBGCP2,-
L7RRS6,P11142,RAF1,HSPA8,-
P23471,P35222,PTPRZ1,CTNNB1,-
P52306,P60953,RAP1GDS1,CDC42,MI:0915(physical association)
P05186,Q14240,ALPL,EIF4A2,psi-mi:MI:0915(physical association)
P20023,P20023,CR2,CR2,-
P14780,P14780,MMP9,MMP9,MI:0407(direct interaction)
Q14626,Q14626,IL11RA,IL11RA,psi-mi:MI:0915(physical association)
Q9UNA1,A0A024R8D6,ARHGAP26,PKN3,MI:0915(physical association)
L7RRS6,Q9H4A3,RAF1,WNK1,psi-mi:MI:0914(association)
L7RRS6,P04629,RAF1,NTRK1,psi-mi:MI:0914(association)
L7RRS6,P0CG48,RAF1,UBC,psi-mi:MI:0915(physical association)
Q9UNA1,Q14155,ARHGAP26,ARHGEF7,psi-mi:MI:0914(association)
Q9UNA1,O60229,ARHGAP26,KALRN,psi-mi:MI:0914(association)
Q9UNA1,O00212,ARHGAP26,RHOD,psi-mi:MI:0915(physical association)
O95613,Q96CV9,PCNT,OPTN,psi-mi:MI:0914(association)
Q9NR81,O75116,ARHGEF3,ROCK2,psi-mi:MI:0914(association)
Q6ZWT7,P0C869,MBOAT2,JMJD7-PLA2G4B,psi-mi:MI:0914(association)
Q9UKI2,P60953,CDC42EP3,CDC42,-
F1D8S4,Q9Y6Q9,PPARA,NCOA3,MI:0407(direct interaction)
P08754,P32745,GNAI3,SSTR3,psi-mi:MI:0915(physical association)
Q15788,Q15327,NCOA1,ANKRD1,psi-mi:MI:0914(association)
Q99081,P46531,TCF12,NOTCH1,MI:0915(physical association)
F1D8S4,Q15788,PPARA,NCOA1,MI:0407(direct interaction)
F1D8S4,Q9NR22,PPARA,PRMT8,MI:0915(physical association)
P48556,P35222,PSMD8,CTNNB1,psi-mi:MI:0914(association)
F1D8S4,A0A024R5F4,PPARA,CPT1A,psi-mi:MI:0914(association)
Q9BWF2,A4D1L5,TRAIP,UBE2H,MI:0915(physical association)
Q15788,A0A024R770,NCOA1,NRF1,psi-mi:MI:0914(association)
Q07889,Q17R89,SOS1,ARHGAP44,psi-mi:MI:0914(association)
B1ALW7,P35613,COG2,BSG,MI:0915(physical association)
A0A0S2Z5C2,Q14524,BANP,SCN5A,MI:0915(physical association)
Q86VP6,P46777,CAND1,RPL5,MI:0915(physical association)
O15296,F1D8Q5,ALOX15B,RXRA,MI:0407(direct interaction)
Q15788,Q9Y618,NCOA1,NCOR2,psi-mi:MI:0915(physical association)
Q13972,P04629,RASGRF1,NTRK1,-
P49368,Q9Y2I8,CCT3,WDR37,MI:0915(physical association)
O14939,P0C869,PLD2,JMJD7-PLA2G4B,psi-mi:MI:0914(association)
Q99959,Q13643,PKP2,FHL3,MI:0915(physical association)
Q9H0H5,P60953,RACGAP1,CDC42,psi-mi:MI:0915(physical association)
Q9H0H5,Q9ULI4,RACGAP1,KIF26A,psi-mi:MI:0914(association)
Q6P2Q9,P61978,PRPF8,HNRNPK,psi-mi:MI:0915(physical association)
P11142,P07900,HSPA8,HSP90AA1,MI:0915(physical association)
Q15788,F1D8Q5,NCOA1,RXRA,MI:0407(direct interaction)
Q15788,Q92922,NCOA1,SMARCC1,MI:0407(direct interaction)
Q16531,Q13620,DDB1,CUL4B,MI:0403(colocalization)
P25685,Q2TAZ0,DNAJB1,ATG2A,MI:0915(physical association)
P11142,K7PPA8,HSPA8,TP53,MI:0915(physical association)
P11142,P21860,HSPA8,ERBB3,MI:0915(physical association)
P11142,Q15750,HSPA8,TAB1,MI:0915(physical association)
P11142,Q7Z434,HSPA8,MAVS,MI:0915(physical association)
P11142,Q07864,HSPA8,POLE,MI:0915(physical association)
P11142,P0CG48,HSPA8,UBC,MI:0407(direct interaction)
P11142,Q8IZP0,HSPA8,ABI1,MI:0915(physical association)
P11142,A0A0S2Z3V5,HSPA8,GAD1,psi-mi:MI:0915(physical association)
P11142,Q8TEV9,HSPA8,SMCR8,psi-mi:MI:0914(association)
P11142,P09496,HSPA8,CLTA,psi-mi:MI:0915(physical association)
A0A024R9L9,A0A024R9L9,VPS39,VPS39,-
P61221,Q9H0A0,ABCE1,NAT10,MI:0915(physical association)
P61221,O15371,ABCE1,EIF3D,MI:0915(physical association)
P54646,P07900,PRKAA2,HSP90AA1,MI:0915(physical association)
O00268,Q8IZX4,TAF4,TAF1L,MI:0403(colocalization)
Q5T5X7,Q5T5X7,BEND3,BEND3,MI:0407(direct interaction)
P11047,P02462,LAMC1,COL4A1,psi-mi:MI:0915(physical association)
Q9UKI2,Q38SD2,CDC42EP3,LRRK1,MI:0407(direct interaction)
Q969M2,Q969M2,GJA10,GJA10,psi-mi:MI:0915(physical association)
O95714,O15371,HERC2,EIF3D,MI:0915(physical association)
Q9UQ35,P49761,SRRM2,CLK3,MI:0915(physical association)
P54198,K7PPA8,HIRA,TP53,psi-mi:MI:0914(association)
P21281,F5H6X6,ATP6V1B2,GANAB,MI:0403(colocalization)
P21281,P14923,ATP6V1B2,JUP,MI:0403(colocalization)
Q02388,O15230,COL7A1,LAMA5,-
P61221,Q9NPD3,ABCE1,EXOSC4,MI:0915(physical association)
Q02880,P46531,TOP2B,NOTCH1,MI:0915(physical association)
Q02880,P27635,TOP2B,RPL10,MI:0915(physical association)
Q6ZR29,P31946,FRYL,YWHAB,-
Q15154,Q96CV9,PCM1,OPTN,psi-mi:MI:0914(association)
H9NIM5,Q8TBB1,RGS20,LNX1,MI:0915(physical association)
P21281,P21281,ATP6V1B2,ATP6V1B2,psi-mi:MI:0915(physical association)
Q08378,Q08378,GOLGA3,GOLGA3,-
Q15653,P46940,NFKBIB,IQGAP1,MI:0915(physical association)
Q6PKG0,P46782,LARP1,RPS5,MI:0403(colocalization)
Q6PKG0,O60307,LARP1,MAST3,MI:0915(physical association)
P11142,Q02388,HSPA8,COL7A1,-
P33981,A0A024R274,TTK,SMAD4,psi-mi:MI:0915(physical association)
P54646,P31946,PRKAA2,YWHAB,psi-mi:MI:0914(association)
P54646,Q9NYB9,PRKAA2,ABI2,MI:0915(physical association)
P54646,O75420,PRKAA2,GIGYF1,MI:0915(physical association)
P33981,Q15418,TTK,RPS6KA1,MI:0915(physical association)
Q13263,P46531,TRIM28,NOTCH1,MI:0915(physical association)
Q13263,A0A024R9W5,TRIM28,HUWE1,MI:0915(physical association)
Q13263,A0A024R3C7,TRIM28,ATM,MI:0915(physical association)
Q86VP6,Q08211,CAND1,DHX9,MI:0915(physical association)
A0A0S2Z4V5,A0A140VK83,PQBP1,PPP1R7,MI:0915(physical association)
P22455,Q06124,FGFR4,PTPN11,psi-mi:MI:0915(physical association)
Q15768,Q15768,EFNB3,EFNB3,-
Q13263,K7PPA8,TRIM28,TP53,MI:0407(direct interaction)
P41597,P50052,CCR2,AGTR2,psi-mi:MI:0914(association)
Q6PKG0,O15075,LARP1,DCLK1,MI:0915(physical association)
O60828,P61006,PQBP1,RAB8A,-
P28288,P28288,ABCD3,ABCD3,-
Q13263,A0A024QZ23,TRIM28,TFE3,MI:0915(physical association)
Q13263,P46100,TRIM28,ATRX,psi-mi:MI:0914(association)
Q9NP58,Q9UN75,ABCB6,PCDHA12,MI:0915(physical association)
P31946,Q8N4C8,YWHAB,MINK1,-
P31946,A0A0B4J1S8,YWHAB,PI4KB,-
O00459,Q8IVF5,PIK3R2,TIAM2,psi-mi:MI:0914(association)
O00459,Q9H7P9,PIK3R2,PLEKHG2,psi-mi:MI:0914(association)
O00459,Q07889,PIK3R2,SOS1,psi-mi:MI:0915(physical association)
P22059,O43776,OSBP,NARS,MI:0403(colocalization)
Q9Y230,Q8TBB1,RUVBL2,LNX1,MI:0407(direct interaction)
P31946,Q99698,YWHAB,LYST,psi-mi:MI:0914(association)
Q15418,Q15418,RPS6KA1,RPS6KA1,-
Q9Y230,O43681,RUVBL2,ASNA1,MI:0403(colocalization)
Q9Y230,Q16821,RUVBL2,PPP1R3A,MI:0915(physical association)
Q9Y230,Q8NI22,RUVBL2,MCFD2,MI:0403(colocalization)
Q96QK1,P61964,VPS35,WDR5,MI:0403(colocalization)
Q96QK1,Q96QK1,VPS35,VPS35,MI:0915(physical association)
Q9Y6K1,Q13105,DNMT3A,ZBTB17,-
Q13615,O15327,MTMR3,INPP4B,psi-mi:MI:0914(association)
Q15418,Q96QB1,RPS6KA1,DLC1,MI:0407(direct interaction)
Q9UMX2,Q8TF66,OAZ3,LRRC15,MI:0915(physical association)
Q9Y230,P35249,RUVBL2,RFC4,MI:0915(physical association)
A0A024RAB1,A0A024RAB1,ASAP3,ASAP3,-
P63261,Q96F07,ACTG1,CYFIP2,psi-mi:MI:0915(physical association)
P63261,Q8IZP0,ACTG1,ABI1,psi-mi:MI:0915(physical association)
Q5PSV4,P85037,BRMS1L,FOXK1,MI:0915(physical association)
O75581,O75581,LRP6,LRP6,psi-mi:MI:0915(physical association)
P11047,P25391,LAMC1,LAMA1,psi-mi:MI:0915(physical association)
Q8NGI2,Q8NGI2,OR52N4,OR52N4,psi-mi:MI:0915(physical association)
O75581,P35222,LRP6,CTNNB1,MI:0915(physical association)
A0A024RDP4,Q9Y250,PSPC1,LZTS1,MI:0915(physical association)
Q02930,Q02930,CREB5,CREB5,-
P15056,Q969H4,BRAF,CNKSR1,MI:0914(association)
P42126,P42126,ECI1,ECI1,-
P49792,P21675,RANBP2,TAF1,MI:0915(physical association)
Q02388,A6NMZ7,COL7A1,COL6A6,psi-mi:MI:0914(association)
Q9UIG0,Q92922,BAZ1B,SMARCC1,MI:0403(colocalization)
A0A024R9W5,P13639,HUWE1,EEF2,MI:0915(physical association)
A0A024R9W5,P61313,HUWE1,RPL15,MI:0915(physical association)
Q9Y265,Q9Y230,RUVBL1,RUVBL2,MI:0915(physical association)
Q12802,Q8WWN8,AKAP13,ARAP3,psi-mi:MI:0914(association)
Q08E86,A8K2M0,KIAA0100,PSMC4,MI:0915(physical association)
Q8TBB1,A0A024R0L6,LNX1,PAFAH1B3,-
A0A024R9W5,Q13620,HUWE1,CUL4B,MI:0407(direct interaction)
Q92736,Q13936,RYR2,CACNA1C,-
Q9Y265,Q99759,RUVBL1,MAP3K3,MI:0915(physical association)
Q9BUF5,Q99759,TUBB6,MAP3K3,MI:0915(physical association)
Q9NPI9,O00555,KCNJ16,CACNA1A,psi-mi:MI:0914(association)
O60841,P46782,EIF5B,RPS5,psi-mi:MI:0915(physical association)
O60841,P61313,EIF5B,RPL15,psi-mi:MI:0915(physical association)
Q9Y265,Q9Y4A5,RUVBL1,TRRAP,psi-mi:MI:0915(physical association)
Q9Y265,P60709,RUVBL1,ACTB,psi-mi:MI:0915(physical association)
P49792,Q10570,RANBP2,CPSF1,psi-mi:MI:0914(association)
O00212,O43157,RHOD,PLXNB1,psi-mi:MI:0915(physical association)
Q9UH03,Q9UH03,SEPT3,SEPT3,MI:0915(physical association)
Q15554,Q8N3U4,TERF2,STAG2,psi-mi:MI:0915(physical association)
P35372,P50052,OPRM1,AGTR2,psi-mi:MI:0914(association)
P33176,Q08211,KIF5B,DHX9,MI:0403(colocalization)
P33176,A0A024R9W5,KIF5B,HUWE1,MI:0915(physical association)
Q7Z7G1,Q9ULJ7,CLNK,ANKRD50,MI:0407(direct interaction)
Q03164,Q6PD62,KMT2A,CTR9,MI:0915(physical association)
Q969Q4,Q86VW0,ARL11,SESTD1,MI:0915(physical association)
P29474,P23634,NOS3,ATP2B4,psi-mi:MI:0915(physical association)
Q8IVF5,Q9NRY4,TIAM2,ARHGAP35,psi-mi:MI:0914(association)
Q9Y2G1,Q9Y2G1,MYRF,MYRF,MI:0407(direct interaction)
A0A024R124,Q14416,SLC38A1,GRM2,MI:0915(physical association)
Q7Z7G1,A0A0S2Z689,CLNK,GLIS3,MI:0915(physical association)
P05187,Q02930,ALPP,CREB5,MI:0915(physical association)
Q8IVF5,P85298,TIAM2,ARHGAP8,psi-mi:MI:0914(association)
Q96DU3,Q96DU3,SLAMF6,SLAMF6,-
O75051,O43157,PLXNA2,PLXNB1,psi-mi:MI:0914(association)
F6KD01,P0CG48,PTEN,UBC,MI:0915(physical association)
Q9BYT8,Q5SW96,NLN,LDLRAP1,MI:0915(physical association)
Q9BYT8,P42695,NLN,NCAPD3,MI:0915(physical association)
O14733,Q9NYJ8,MAP2K7,TAB2,psi-mi:MI:0915(physical association)
F6KD01,Q9BRX2,PTEN,PELO,MI:0407(direct interaction)
F6KD01,Q9BQE3,PTEN,TUBA1C,MI:0915(physical association)
F6KD01,P14923,PTEN,JUP,MI:0407(direct interaction)
F6KD01,Q16531,PTEN,DDB1,MI:0407(direct interaction)
F6KD01,P35556,PTEN,FBN2,MI:0915(physical association)
F6KD01,O60307,PTEN,MAST3,-
F6KD01,Q96PU4,PTEN,UHRF2,MI:0915(physical association)
F6KD01,Q9HCE1,PTEN,MOV10,psi-mi:MI:0914(association)
F6KD01,Q86YW0,PTEN,PLCZ1,psi-mi:MI:0914(association)
P17480,P17480,UBTF,UBTF,-
Q9UL59,Q70CQ2,ZNF214,USP34,MI:0915(physical association)
P06737,P52789,PYGL,HK2,MI:0403(colocalization)
P26441,P26441,CNTF,CNTF,-
P06737,P06737,PYGL,PYGL,MI:0914(association)
P98170,P55211,XIAP,CASP9,-
P98170,Q92835,XIAP,INPP5D,MI:0915(physical association)
P98170,P63000,XIAP,RAC1,MI:0915(physical association)
Q9UQ16,Q9UQ16,DNM3,DNM3,MI:0407(direct interaction)
Q8N3F8,A0A024R1L9,MICALL1,CBY1,MI:0915(physical association)
P17480,P27635,UBTF,RPL10,MI:0915(physical association)
Q9ULJ6,Q9Y6X2,ZMIZ1,PIAS3,MI:0407(direct interaction)
Q9Y230,Q03112,RUVBL2,MECOM,psi-mi:MI:0915(physical association)
F1D8Q5,C9JE98,RXRA,NCOR2,-
Q9ULD8,Q9ULD8,KCNH3,KCNH3,psi-mi:MI:0915(physical association)
F1D8Q5,Q15796,RXRA,SMAD2,-
Q09472,P35222,EP300,CTNNB1,MI:0915(physical association)
Q09472,P35638,EP300,DDIT3,MI:0915(physical association)
Q09472,Q15554,EP300,TERF2,MI:0915(physical association)
Q09472,A0A024R0G8,EP300,SIRT2,MI:0407(direct interaction)
Q09472,O60885,EP300,BRD4,MI:0915(physical association)
Q09472,P55211,EP300,CASP9,psi-mi:MI:0915(physical association)
Q09472,A0A024R3C7,EP300,ATM,psi-mi:MI:0915(physical association)
Q09472,P06729,EP300,CD2,MI:0915(physical association)
Q09472,Q71F56,EP300,MED13L,psi-mi:MI:0915(physical association)
Q8WXF1,Q8WXF1,PSPC1,PSPC1,MI:0407(direct interaction)
A0A024R258,Q9BXJ5,UBQLN1,C1QTNF2,psi-mi:MI:0915(physical association)
