uidA,uidB,aliasA,aliasB,interactionType
Q14112,P15502,NID2,ELN,-
Q71SY5,Q99814,MED25,EPAS1,MI:0915(physical association)
P01023,Q9H7P9,A2M,PLEKHG2,psi-mi:MI:0914(association)
O95218,A0A024R2B6,ZRANB2,SERPINB5,MI:0915(physical association)
A0A024R7E1,P62736,YIPF2,ACTA2,MI:0915(physical association)
A0A024R8F4,Q16533,SNAPC4,SNAPC1,MI:0915(physical association)
P01023,Q9NZN5,A2M,ARHGEF12,psi-mi:MI:0914(association)
Q13368,Q13636,MPP3,RAB31,MI:0915(physical association)
P01023,Q15052,A2M,ARHGEF6,psi-mi:MI:0914(association)
P01023,A0A024R692,A2M,RHOJ,psi-mi:MI:0915(physical association)
P01023,P10911,A2M,MCF2,psi-mi:MI:0914(association)
Q69YQ0,Q9NQX4,SPECC1L,MYO5C,MI:0915(physical association)
Q13228,Q8TEY7,SELENBP1,USP33,MI:0407(direct interaction)
P35590,P23470,TIE1,PTPRG,MI:0203(dephosphorylation reaction)
O75907,A8K2H7,DGAT1,C3AR1,MI:0915(physical association)
Q8N8M0,Q6B0B8,NAT16,TIGD3,MI:0915(physical association)
Q14BN4,Q13043,SLMAP,STK4,MI:0915(physical association)
P01148,Q16819,GNRH1,MEP1A,MI:0407(direct interaction)
Q8WW38,P43694,ZFPM2,GATA4,MI:0407(direct interaction)
P38398,P38398,BRCA1,BRCA1,MI:0407(direct interaction)
Q9NYB9,A0A0S2Z4R4,ABI2,HGS,MI:0915(physical association)
O95684,F1T0B6,FGFR1OP,AIPL1,MI:0915(physical association)
Q8WWW0,Q548N1,RASSF5,VPS28,MI:0915(physical association)
Q96HB5,A0A024R7H3,CCDC120,USHBP1,psi-mi:MI:0915(physical association)
O15504,A0A024R8A6,NUPL2,NEK6,psi-mi:MI:0915(physical association)
Q9UPV0,Q9Y592,CEP164,CEP83,psi-mi:MI:0914(association)
P51582,P25929,P2RY4,NPY1R,psi-mi:MI:0914(association)
Q9UPV0,Q99996,CEP164,AKAP9,psi-mi:MI:0915(physical association)
Q9UPV0,Q96RT7,CEP164,TUBGCP6,psi-mi:MI:0915(physical association)
Q13368,Q9HAP6,MPP3,LIN7B,MI:0915(physical association)
Q969Q6,Q8IYE0,PPP2R3C,CCDC146,MI:0915(physical association)
P51582,A0A024R2Z3,P2RY4,CCR3,psi-mi:MI:0914(association)
Q9NVI1,O15360,FANCI,FANCA,psi-mi:MI:0915(physical association)
P42898,P42898,MTHFR,MTHFR,psi-mi:MI:0915(physical association)
P51582,Q9H3N8,P2RY4,HRH4,psi-mi:MI:0914(association)
P51582,Q9NYW6,P2RY4,TAS2R3,psi-mi:MI:0914(association)
P51582,P59534,P2RY4,TAS2R39,psi-mi:MI:0914(association)
P51582,Q9NYW2,P2RY4,TAS2R8,psi-mi:MI:0914(association)
Q07890,B2RTY4,SOS2,MYO9A,psi-mi:MI:0914(association)
Q6P2E9,P23142,EDC4,FBLN1,MI:0407(direct interaction)
Q6P2E9,D0EI67,EDC4,CCL5,MI:0407(direct interaction)
Q32P28,Q02388,P3H1,COL7A1,psi-mi:MI:0915(physical association)
A0A024RAQ9,Q16394,VCAN,EXT1,psi-mi:MI:0914(association)
Q9BX67,P57087,JAM3,JAM2,MI:0915(physical association)
Q32P28,P08123,P3H1,COL1A2,psi-mi:MI:0915(physical association)
Q9HCS7,P24928,XAB2,POLR2A,MI:0915(physical association)
A0A024R7E1,Q9BRI3,YIPF2,SLC30A2,MI:0915(physical association)
Q8TEQ8,Q92521,PIGO,PIGB,psi-mi:MI:0914(association)
A0ZT98,O43281,TSSK1B,EFS,MI:0915(physical association)
Q71SY5,Q8TDS5,MED25,OXER1,MI:0915(physical association)
O60503,Q7Z4H4,ADCY9,ADM2,psi-mi:MI:0914(association)
P49639,P60412,HOXA1,KRTAP10-11,MI:0407(direct interaction)
P01148,Q92847,GNRH1,GHSR,psi-mi:MI:0915(physical association)
Q9BS16,O00139,CENPK,KIF2A,psi-mi:MI:0915(physical association)
Q9BS16,Q02224,CENPK,CENPE,psi-mi:MI:0915(physical association)
A0A024R8F4,Q9H1D9,SNAPC4,POLR3F,psi-mi:MI:0915(physical association)
Q9BS16,Q8NFH4,CENPK,NUP37,psi-mi:MI:0915(physical association)
Q01432,Q01432,AMPD3,AMPD3,psi-mi:MI:0915(physical association)
P01148,P37288,GNRH1,AVPR1A,psi-mi:MI:0915(physical association)
P01148,Q9HB89,GNRH1,NMUR1,psi-mi:MI:0915(physical association)
P01148,P34995,GNRH1,PTGER1,psi-mi:MI:0915(physical association)
A0A024R8F4,Q9NW08,SNAPC4,POLR3B,psi-mi:MI:0915(physical association)
Q9UPV0,A0A140VJG2,CEP164,CEP70,psi-mi:MI:0915(physical association)
O75907,Q9NST1,DGAT1,PNPLA3,psi-mi:MI:0914(association)
Q9BS16,Q9NSP4,CENPK,CENPM,psi-mi:MI:0915(physical association)
Q8WXD0,O60266,RXFP2,ADCY3,psi-mi:MI:0914(association)
P51587,A0A024R3C7,BRCA2,ATM,psi-mi:MI:0915(physical association)
Q8WXD0,Q96A98,RXFP2,PTH2,psi-mi:MI:0915(physical association)
P51587,O43502,BRCA2,RAD51C,psi-mi:MI:0914(association)
Q9NYB9,P35900,ABI2,KRT20,-
Q9NYB9,Q8TBB1,ABI2,LNX1,MI:0915(physical association)
Q9NYB9,Q9NYB9,ABI2,ABI2,MI:0915(physical association)
Q9NYB9,Q8N7C3,ABI2,TRIML2,MI:0915(physical association)
P49639,P49639,HOXA1,HOXA1,MI:0407(direct interaction)
Q8TBB1,Q9Y620,LNX1,RAD54B,-
Q9UBS0,O00418,RPS6KB2,EEF2K,MI:0217(phosphorylation reaction)
Q53EL6,P46777,PDCD4,RPL5,MI:0915(physical association)
Q53EL6,P05386,PDCD4,RPLP1,MI:0915(physical association)
P55211,P10144,CASP9,GZMB,-
P55211,Q9C000,CASP9,NLRP1,-
A3KME0,O15287,FANCF,FANCG,-
A0A024R6R3,O75419,ORC6,CDC45,MI:0407(direct interaction)
Q9BY89,Q96KN7,KIAA1671,RPGRIP1,MI:0915(physical association)
Q15750,P00533,TAB1,EGFR,MI:0407(direct interaction)
Q15750,A0A1U9X7W7,TAB1,HSPA1L,MI:0403(colocalization)
O15504,O76011,NUPL2,KRT34,MI:0915(physical association)
Q6P2E9,P35249,EDC4,RFC4,MI:0403(colocalization)
Q6P2E9,Q8IZD4,EDC4,DCP1B,MI:0915(physical association)
P35968,Q9Y312,KDR,AAR2,MI:0915(physical association)
P35968,P29350,KDR,PTPN6,MI:0407(direct interaction)
Q15750,A0A0S2Z4Z8,TAB1,RIPK2,MI:0915(physical association)
Q14194,Q9NY59,CRMP1,SMPD3,MI:0915(physical association)
Q9NX40,B4DL14,OCIAD1,ATP5C1,MI:0915(physical association)
Q8IYI6,A0A024RDA1,EXOC8,EXOC1,MI:0915(physical association)
Q8IYI6,P27930,EXOC8,IL1R2,MI:0915(physical association)
Q8IYI6,A0A024R9N6,EXOC8,EHD4,MI:0915(physical association)
Q14929,Q9NZR2,ZNF169,LRP1B,MI:0915(physical association)
P05120,Q93052,SERPINB2,LPP,MI:0915(physical association)
Q6PF18,P19012,MORN3,KRT15,psi-mi:MI:0915(physical association)
A0A024QZJ2,Q05086,UBE2D1,UBE3A,-
Q15561,P0C7W6,TEAD4,CCDC172,psi-mi:MI:0915(physical association)
A0A024QZJ2,Q86Y13,UBE2D1,DZIP3,MI:0915(physical association)
P38398,Q16821,BRCA1,PPP1R3A,MI:0915(physical association)
P55081,O43829,MFAP1,ZBTB14,MI:0915(physical association)
A3KME0,Q9Y248,FANCF,GINS2,MI:0407(direct interaction)
A0A024QZJ2,Q9H000,UBE2D1,MKRN2,MI:0915(physical association)
A0A024QZJ2,Q9P0P0,UBE2D1,RNF181,MI:0915(physical association)
A0A024QZJ2,Q13233,UBE2D1,MAP3K1,MI:0915(physical association)
A0A024QZJ2,A0A024RAA0,UBE2D1,MUL1,MI:0915(physical association)
Q0VDF9,P38398,HSPA14,BRCA1,MI:0407(direct interaction)
P55211,P55210,CASP9,CASP7,MI:0407(direct interaction)
P35968,A0A024QZY1,KDR,AIMP2,MI:0915(physical association)
Q14520,P53420,HABP2,COL4A4,-
O00144,P09544,FZD9,WNT2,-
P10070,A0N0L5,GLI2,IL6R,psi-mi:MI:0915(physical association)
Q02505,Q96FL9,MUC3A,GALNT14,psi-mi:MI:0915(physical association)
Q02505,A0A024R8M1,MUC3A,ST6GALNAC2,psi-mi:MI:0915(physical association)
Q02505,Q02742,MUC3A,GCNT1,psi-mi:MI:0915(physical association)
P10768,P23508,ESD,MCC,MI:0915(physical association)
A0A024QZJ2,A0A024R688,UBE2D1,MNAT1,psi-mi:MI:0914(association)
A0A024QZJ2,Q9Y2N7,UBE2D1,HIF3A,psi-mi:MI:0915(physical association)
P22455,Q96J88,FGFR4,EPSTI1,MI:0915(physical association)
P22455,Q96S79,FGFR4,RASL10B,MI:0915(physical association)
Q8IYI6,Q14247,EXOC8,CTTN,MI:0403(colocalization)
P98160,Q5M8T4,HSPG2,CTGF,-
P98160,P17948,HSPG2,FLT1,MI:0407(direct interaction)
P98160,Q9UBV7,HSPG2,B4GALT7,psi-mi:MI:0915(physical association)
P98160,Q16394,HSPG2,EXT1,psi-mi:MI:0915(physical association)
P98160,Q14118,HSPG2,DAG1,psi-mi:MI:0915(physical association)
P98160,Q14114,HSPG2,LRP8,psi-mi:MI:0915(physical association)
P98160,Q16787,HSPG2,LAMA3,psi-mi:MI:0915(physical association)
Q8IWZ5,A0A140VJV5,TRIM42,SPERT,MI:0915(physical association)
O75674,A0A0S2Z5E9,TOM1L1,CWF19L1,-
Q5UE93,B0ZBE0,PIK3R6,ADRA1D,psi-mi:MI:0914(association)
Q5UE93,P05305,PIK3R6,EDN1,psi-mi:MI:0914(association)
Q5UE93,P43119,PIK3R6,PTGIR,psi-mi:MI:0914(association)
Q5UE93,Q13258,PIK3R6,PTGDR,psi-mi:MI:0914(association)
Q5UE93,P46663,PIK3R6,BDKRB1,psi-mi:MI:0914(association)
Q13515,Q9Y2J4,BFSP2,AMOTL2,MI:0915(physical association)
O43679,P25791,LDB2,LMO2,MI:0915(physical association)
Q13515,Q6P1L6,BFSP2,ZNF343,MI:0915(physical association)
Q13515,Q2M2I5,BFSP2,KRT24,MI:0915(physical association)
Q5UE93,Q8WXD0,PIK3R6,RXFP2,psi-mi:MI:0914(association)
Q5UE93,O43426,PIK3R6,SYNJ1,psi-mi:MI:0914(association)
Q5UE93,P30989,PIK3R6,NTSR1,psi-mi:MI:0914(association)
Q5UE93,Q9H1C0,PIK3R6,LPAR5,psi-mi:MI:0914(association)
P55211,Q96P09,CASP9,BIRC8,psi-mi:MI:0915(physical association)
Q9UBV8,Q3LI76,PEF1,KRTAP15-1,MI:0915(physical association)
P35790,P35790,CHKA,CHKA,psi-mi:MI:0915(physical association)
P34896,Q96M27,SHMT1,PRRC1,MI:0403(colocalization)
Q8WXF3,P30556,RLN3,AGTR1,psi-mi:MI:0914(association)
P16234,P02786,PDGFRA,TFRC,MI:0915(physical association)
Q5JSP0,Q2M1Z3,FGD3,ARHGAP31,psi-mi:MI:0914(association)
Q96CA5,P49638,BIRC7,TTPA,MI:0915(physical association)
P60022,Q5UIP0,DEFB1,RIF1,-
Q8WXF3,Q96A98,RLN3,PTH2,psi-mi:MI:0914(association)
Q8WXF3,Q8TDU6,RLN3,GPBAR1,psi-mi:MI:0915(physical association)
P55211,Q13635,CASP9,PTCH1,MI:0915(physical association)
A8MQ07,Q9UHR6,RAPGEF5,ZNHIT2,MI:0915(physical association)
Q9Y5A6,Q8WVZ9,ZSCAN21,KBTBD7,MI:0915(physical association)
Q8WXF3,Q9NYW6,RLN3,TAS2R3,psi-mi:MI:0915(physical association)
Q5JSP0,Q96QB1,FGD3,DLC1,psi-mi:MI:0914(association)
A0A024QZJ2,Q99814,UBE2D1,EPAS1,psi-mi:MI:0915(physical association)
P55081,Q96NG5,MFAP1,ZNF558,MI:0915(physical association)
Q9Y613,Q13976,FHOD1,PRKG1,-
Q5JSP0,Q8WUY9,FGD3,DEPDC1B,psi-mi:MI:0914(association)
Q8WXD5,Q8WUM0,GEMIN6,NUP133,psi-mi:MI:0914(association)
Q5JSP0,P61586,FGD3,RHOA,psi-mi:MI:0915(physical association)
Q96HA7,P25205,TONSL,MCM3,MI:0915(physical association)
Q8WXF3,P43115,RLN3,PTGER3,psi-mi:MI:0915(physical association)
P55081,Q14978,MFAP1,NOLC1,MI:0915(physical association)
Q5JSP0,Q8WWN8,FGD3,ARAP3,psi-mi:MI:0914(association)
Q13352,Q13352,ITGB3BP,ITGB3BP,-
Q8WXF3,O43306,RLN3,ADCY6,psi-mi:MI:0914(association)
Q13352,Q5UIP0,ITGB3BP,RIF1,MI:0915(physical association)
Q13352,Q13438,ITGB3BP,OS9,MI:0915(physical association)
Q13630,Q13630,TSTA3,TSTA3,MI:0407(direct interaction)
P26010,Q9Y3P9,ITGB7,RABGAP1,psi-mi:MI:0915(physical association)
Q7Z4G4,A0A0S2Z5S4,TRMT11,LHX4,MI:0915(physical association)
Q9NZM1,P05161,MYOF,ISG15,psi-mi:MI:0915(physical association)
Q13352,G1UI16,ITGB3BP,PDS5A,psi-mi:MI:0915(physical association)
Q9UHI6,P25205,DDX20,MCM3,MI:0915(physical association)
Q13352,P30622,ITGB3BP,CLIP1,psi-mi:MI:0915(physical association)
Q13352,Q9BS16,ITGB3BP,CENPK,psi-mi:MI:0915(physical association)
B2R9L7,P00734,OXTR,F2,psi-mi:MI:0915(physical association)
P16234,Q14449,PDGFRA,GRB14,-
A8ASI8,Q14790,BID,CASP8,-
O43818,Q5TDG3,RRP9,WDR3,MI:0403(colocalization)
P05386,P46777,RPLP1,RPL5,MI:0403(colocalization)
Q96M95,A0A024R7H3,CCDC42,USHBP1,MI:0915(physical association)
Q9UMS6,A0A024RAP4,SYNPO2,POLK,MI:0915(physical association)
P08922,P29350,ROS1,PTPN6,MI:0407(direct interaction)
P48556,Q9Y5K5,PSMD8,UCHL5,-
Q9UL15,Q13233,BAG5,MAP3K1,MI:0915(physical association)
Q9UBN4,P48995,TRPC4,TRPC1,psi-mi:MI:0915(physical association)
Q9BWD1,Q9BWD1,ACAT2,ACAT2,MI:0407(direct interaction)
Q01718,P01189,MC2R,POMC,-
P11047,P98160,LAMC1,HSPG2,psi-mi:MI:0915(physical association)
Q96J02,P08151,ITCH,GLI1,psi-mi:MI:0915(physical association)
A0A024R499,P24394,IRS1,IL4R,-
Q9UM54,Q12959,MYO6,DLG1,psi-mi:MI:0915(physical association)
P60660,A0A024R9L0,MYL6,NDUFAF1,psi-mi:MI:0915(physical association)
O95067,P21333,CCNB2,FLNA,MI:0915(physical association)
Q96G28,O94868,CFAP36,FCHSD2,MI:0915(physical association)
Q8WVV4,Q8IYP9,POF1B,ZDHHC23,MI:0915(physical association)
P09001,A0A024RBG3,MRPL3,MRPL42,MI:0403(colocalization)
P48556,Q8N3I7,PSMD8,BBS5,MI:0915(physical association)
O60496,P00533,DOK2,EGFR,MI:0407(direct interaction)
Q9NPZ5,A0A024RAQ9,B3GAT2,VCAN,psi-mi:MI:0915(physical association)
P11047,Q16787,LAMC1,LAMA3,psi-mi:MI:0915(physical association)
Q8TAX7,Q8N8L2,MUC7,ZNF491,MI:0915(physical association)
P49454,A0A024RDV3,CENPF,RB1,psi-mi:MI:0914(association)
Q8N3R9,Q96JB8,MPP5,MPP4,psi-mi:MI:0914(association)
Q9HCS7,A0A024R0Q6,XAB2,ERCC1,psi-mi:MI:0915(physical association)
Q8NFM4,P08908,ADCY4,HTR1A,psi-mi:MI:0914(association)
O95067,Q9BPU9,CCNB2,B9D2,psi-mi:MI:0915(physical association)
O95067,Q86XR8,CCNB2,CEP57,psi-mi:MI:0914(association)
O95067,Q15021,CCNB2,NCAPD2,psi-mi:MI:0915(physical association)
O95067,Q9BS16,CCNB2,CENPK,psi-mi:MI:0915(physical association)
Q8NFM4,Q01718,ADCY4,MC2R,psi-mi:MI:0914(association)
Q8NFM4,P46663,ADCY4,BDKRB1,psi-mi:MI:0914(association)
Q8NFM4,Q8TDU6,ADCY4,GPBAR1,psi-mi:MI:0914(association)
Q8NFM4,P16473,ADCY4,TSHR,psi-mi:MI:0914(association)
Q8NFM4,Q9NYW0,ADCY4,TAS2R10,psi-mi:MI:0914(association)
Q8NFM4,A0A0S2Z3H8,ADCY4,GNAS,psi-mi:MI:0915(physical association)
Q8NFM4,Q9HAV0,ADCY4,GNB4,psi-mi:MI:0914(association)
Q8NFM4,A0A024RAH7,ADCY4,CNR2,psi-mi:MI:0914(association)
Q9BQK8,O15120,LPIN3,AGPAT2,psi-mi:MI:0914(association)
O95067,O95613,CCNB2,PCNT,psi-mi:MI:0914(association)
Q8NFM4,O60658,ADCY4,PDE8A,psi-mi:MI:0914(association)
Q9UL15,Q38SD2,BAG5,LRRK1,MI:0407(direct interaction)
P11047,A0A140VJM0,LAMC1,ITGA3,psi-mi:MI:0915(physical association)
Q9HCS7,Q07864,XAB2,POLE,psi-mi:MI:0914(association)
Q8WZ60,A0A0S2Z4C3,KLHL6,FH,MI:0915(physical association)
Q9BQK8,Q8TEJ3,LPIN3,SH3RF3,MI:0915(physical association)
Q8N3R9,Q9Y2J4,MPP5,AMOTL2,MI:0915(physical association)
A0A024R0J1,Q8WYL5,PAK4,SSH1,-
P05386,Q53EL6,RPLP1,PDCD4,-
Q9HCS7,P35249,XAB2,RFC4,psi-mi:MI:0914(association)
A0A024R6N9,Q7L5N1,SERPINA5,COPS6,MI:0915(physical association)
Q9HCS7,A0A1W1GSK9,XAB2,ERCC4,psi-mi:MI:0915(physical association)
Q86U44,O15514,METTL3,POLR2D,psi-mi:MI:0915(physical association)
Q86VN1,O95801,VPS36,TTC4,MI:0403(colocalization)
Q86U44,P35269,METTL3,GTF2F1,psi-mi:MI:0915(physical association)
Q6UN15,Q08379,FIP1L1,GOLGA2,MI:0915(physical association)
A0A024RE14,P13725,C5orf22,OSM,MI:0915(physical association)
P51959,Q5T447,CCNG1,HECTD3,MI:0915(physical association)
Q5XPI4,Q9Y6A5,RNF123,TACC3,MI:0915(physical association)
Q9UBN4,Q59H91,TRPC4,ITPR1,-
Q5XPI4,Q9Y581,RNF123,INSL6,MI:0915(physical association)
P48556,Q14997,PSMD8,PSME4,psi-mi:MI:0915(physical association)
P48556,P25054,PSMD8,APC,psi-mi:MI:0914(association)
P48556,P51946,PSMD8,CCNH,psi-mi:MI:0914(association)
P13942,P12109,COL11A2,COL6A1,psi-mi:MI:0914(association)
P48556,Q9H211,PSMD8,CDT1,psi-mi:MI:0914(association)
Q9NYH9,Q9HC44,UTP6,GPBP1L1,MI:0915(physical association)
O95684,Q9HBE1,FGFR1OP,PATZ1,MI:0915(physical association)
Q8TBC4,Q96FN4,UBA3,CPNE2,MI:0915(physical association)
Q92805,Q4VXZ2,GOLGA1,VPS52,MI:0915(physical association)
Q9UJC3,A0A024QZC7,HOOK1,ZNF785,psi-mi:MI:0915(physical association)
A1A5B4,Q12959,ANO9,DLG1,MI:0915(physical association)
P28288,O14832,ABCD3,PHYH,psi-mi:MI:0915(physical association)
Q92805,Q86T90,GOLGA1,KIAA1328,MI:0915(physical association)
Q9UMS0,Q8NC60,NFU1,NOA1,MI:0915(physical association)
Q9P0S9,Q9BXK5,TMEM14C,BCL2L13,MI:0915(physical association)
A0A024RDA9,Q9Y2D4,EXOC1,EXOC6B,MI:0915(physical association)
Q86VN1,Q9NZZ3,VPS36,CHMP5,psi-mi:MI:0914(association)
B4DN26,P25391,PLAT,LAMA1,-
P30536,P24539,TSPO,ATP5F1,MI:0403(colocalization)
O75398,Q9HAT8,DEAF1,PELI2,MI:0407(direct interaction)
Q9NRD1,B4DLF5,FBXO6,MET,MI:0915(physical association)
Q9NRD1,P18850,FBXO6,ATF6,MI:0915(physical association)
Q9NRD1,B4DL14,FBXO6,ATP5C1,MI:0915(physical association)
Q9NRD1,P35606,FBXO6,COPB2,MI:0915(physical association)
Q9NRD1,Q9UHL4,FBXO6,DPP7,MI:0915(physical association)
Q9NRD1,O14638,FBXO6,ENPP3,MI:0915(physical association)
Q9NRD1,P41252,FBXO6,IARS,MI:0915(physical association)
Q9NRD1,Q96J42,FBXO6,TXNDC15,MI:0915(physical association)
Q9NRD1,Q8N2E2,FBXO6,VWDE,MI:0915(physical association)
Q9NRD1,A0A0D9SGC1,FBXO6,MYO6,MI:0915(physical association)
Q9NRD1,P54802,FBXO6,NAGLU,MI:0915(physical association)
Q9UI26,P00533,IPO11,EGFR,MI:0915(physical association)
Q9NRD1,P55268,FBXO6,LAMB2,MI:0915(physical association)
Q9NRD1,O94898,FBXO6,LRIG2,MI:0915(physical association)
O14863,P13591,SLC30A4,NCAM1,MI:0915(physical association)
Q14554,Q16627,PDIA5,CCL14,MI:0915(physical association)
Q5BVD1,A0PJW6,C3orf52,TMEM223,MI:0915(physical association)
O60333,O00295,KIF1B,TULP2,MI:0915(physical association)
P49639,P09683,HOXA1,SCT,MI:0915(physical association)
O95199,O95363,RCBTB2,FARS2,MI:0407(direct interaction)
P49639,Q15077,HOXA1,P2RY6,MI:0915(physical association)
Q13515,Q9NS73,BFSP2,MBIP,psi-mi:MI:0915(physical association)
A0A024RAM1,Q9H1D9,POLR3G,POLR3F,MI:0915(physical association)
A6ND36,Q15796,FAM83G,SMAD2,MI:0915(physical association)
P49639,Q0VG06,HOXA1,FAAP100,MI:0915(physical association)
P49639,Q9H2F3,HOXA1,HSD3B7,MI:0915(physical association)
Q9BY89,P61962,KIAA1671,DCAF7,MI:0915(physical association)
Q52LW3,O94827,ARHGAP29,PLEKHG5,psi-mi:MI:0914(association)
Q9GZT6,A0A024RB41,CCDC90B,NACA,MI:0915(physical association)
Q6IQ23,Q9NQT8,PLEKHA7,KIF13B,MI:0915(physical association)
P23229,O15230,ITGA6,LAMA5,psi-mi:MI:0915(physical association)
O60333,P36871,KIF1B,PGM1,MI:0915(physical association)
O43187,Q15796,IRAK2,SMAD2,-
Q9P209,Q9H4B6,CEP72,SAV1,MI:0915(physical association)
P59533,P51685,TAS2R38,CCR8,psi-mi:MI:0914(association)
Q53GG5,Q9NPC6,PDLIM3,MYOZ2,MI:0915(physical association)
O14863,O14863,SLC30A4,SLC30A4,MI:0403(colocalization)
O15126,P49638,SCAMP1,TTPA,MI:0915(physical association)
Q0VDF9,A8KA82,HSPA14,DNAJC3,MI:0403(colocalization)
Q2M1Z3,Q9BYZ6,ARHGAP31,RHOBTB2,psi-mi:MI:0915(physical association)
Q2M1Z3,P10911,ARHGAP31,MCF2,psi-mi:MI:0914(association)
A0A024RAA7,A0A024RAA7,C1QC,C1QC,MI:0407(direct interaction)
Q2M1Z3,O94827,ARHGAP31,PLEKHG5,psi-mi:MI:0914(association)
Q9UBV4,Q9H1J7,WNT16,WNT5B,psi-mi:MI:0915(physical association)
P16234,O60749,PDGFRA,SNX2,MI:0915(physical association)
A0A024R2S4,P07900,CDC25A,HSP90AA1,psi-mi:MI:0914(association)
A0A024QZY3,B9A6J6,FAM50B,TBC1D1,MI:0915(physical association)
Q2TAC2,Q7Z6J9,CCDC57,TSEN54,MI:0915(physical association)
A0A024R2S4,P42695,CDC25A,NCAPD3,psi-mi:MI:0914(association)
Q9UL15,Q9UNE7,BAG5,STUB1,MI:0407(direct interaction)
A0A024R2S4,Q16401,CDC25A,PSMD5,psi-mi:MI:0914(association)
Q8NFT8,P46531,DNER,NOTCH1,psi-mi:MI:0915(physical association)
A0A024R2S4,A0A024R3C7,CDC25A,ATM,psi-mi:MI:0914(association)
A0A024R0J1,A0A024R6C9,PAK4,DLST,MI:0407(direct interaction)
Q5VTB9,Q9HD26,RNF220,GOPC,psi-mi:MI:0915(physical association)
P16234,P19174,PDGFRA,PLCG1,-
Q9BTE1,Q9NS87,DCTN5,KIF15,psi-mi:MI:0915(physical association)
Q6NUQ1,A2RRP1,RINT1,NBAS,MI:0915(physical association)
P55210,P46934,CASP7,NEDD4,-
P60660,P63267,MYL6,ACTG2,psi-mi:MI:0915(physical association)
Q07890,P01023,SOS2,A2M,psi-mi:MI:0914(association)
A0A024R471,Q13287,COPS7B,NMI,MI:0407(direct interaction)
A0A024QZU1,Q9UHI6,EIF2AK1,DDX20,MI:0915(physical association)
A0A024QZY3,A1L4K1,FAM50B,FSD2,MI:0915(physical association)
Q9BTE1,O00139,DCTN5,KIF2A,psi-mi:MI:0915(physical association)
A0A024QZY3,Q4VXZ2,FAM50B,VPS52,MI:0915(physical association)
A0A024QZY3,Q9BYV2,FAM50B,TRIM54,MI:0915(physical association)
Q14112,Q16363,NID2,LAMA4,psi-mi:MI:0915(physical association)
A8ASI8,O14763,BID,TNFRSF10B,psi-mi:MI:0914(association)
Q2TAC2,Q9H6X5,CCDC57,C19orf44,MI:0915(physical association)
Q92854,A0A024R759,SEMA4D,MET,psi-mi:MI:0915(physical association)
P61221,P49588,ABCE1,AARS,MI:0915(physical association)
O60333,Q9BST9,KIF1B,RTKN,MI:0915(physical association)
Q2TAC2,Q6NUQ1,CCDC57,RINT1,MI:0915(physical association)
Q07890,Q96QD5,SOS2,DEPDC7,psi-mi:MI:0914(association)
P61221,O94874,ABCE1,UFL1,MI:0915(physical association)
P61221,P07948,ABCE1,LYN,MI:0915(physical association)
P61221,Q9P0J0,ABCE1,NDUFA13,MI:0915(physical association)
Q96JN8,P35249,NEURL4,RFC4,MI:0915(physical association)
Q8IWZ3,O75386,ANKHD1,TULP3,MI:0915(physical association)
P61221,A0A0S2Z3H3,ABCE1,SLC25A4,MI:0915(physical association)
P30556,P46663,AGTR1,BDKRB1,psi-mi:MI:0914(association)
Q96J02,O95786,ITCH,DDX58,psi-mi:MI:0915(physical association)
Q09666,P55160,AHNAK,NCKAP1L,psi-mi:MI:0914(association)
Q8WXD5,P54105,GEMIN6,CLNS1A,psi-mi:MI:0915(physical association)
Q07890,Q9Y6N7,SOS2,ROBO1,psi-mi:MI:0915(physical association)
P61221,Q9NU22,ABCE1,MDN1,MI:0915(physical association)
P61221,P48556,ABCE1,PSMD8,MI:0915(physical association)
Q07890,Q52LW3,SOS2,ARHGAP29,psi-mi:MI:0914(association)
P61221,Q9HAV0,ABCE1,GNB4,MI:0915(physical association)
Q6NUQ1,Q01082,RINT1,SPTBN1,MI:0915(physical association)
I4EC15,Q9NS87,HLA-DPB1,KIF15,psi-mi:MI:0914(association)
Q07890,Q9BRR9,SOS2,ARHGAP9,psi-mi:MI:0914(association)
P61221,Q9UBB4,ABCE1,ATXN10,MI:0915(physical association)
P23229,A0A0S2Z3R6,ITGA6,LAMB3,psi-mi:MI:0915(physical association)
B7Z307,A0A024R730,SARAF,CFTR,MI:0915(physical association)
O95168,O75306,NDUFB4,NDUFS2,psi-mi:MI:0915(physical association)
Q8WXD5,Q9BW27,GEMIN6,NUP85,psi-mi:MI:0914(association)
Q8WXD5,Q8WXD5,GEMIN6,GEMIN6,psi-mi:MI:0915(physical association)
A0A024QZY3,Q9Y3D3,FAM50B,MRPS16,MI:0403(colocalization)
A0A024QZY3,Q6P161,FAM50B,MRPL54,MI:0403(colocalization)
P61221,Q96BW5,ABCE1,PTER,MI:0403(colocalization)
P22894,P02461,MMP8,COL3A1,psi-mi:MI:0915(physical association)
Q6FIB4,Q6FIB4,F11R,F11R,psi-mi:MI:0915(physical association)
Q9HAV0,A6PVS8,GNB4,LRRIQ3,MI:0915(physical association)
P49639,Q3V5L5,HOXA1,MGAT5B,psi-mi:MI:0915(physical association)
P61221,Q9HC77,ABCE1,CENPJ,MI:0915(physical association)
I4EC15,A0A024QZM6,HLA-DPB1,SEC24C,psi-mi:MI:0915(physical association)
